srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,10.0.150.1,*,17,67,*,1400,*,*,684,2
54:60:09:ff:d8:52,52:71:41:2f:b9:07,0x0800,*,*,10.0.150.1,17,*,67,1400,*,*,0,0
54:60:09:ff:d8:52,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,90,1
54:60:09:ff:d8:52,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,267739,747
54:60:09:ff:d8:52,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,186,3
54:60:09:ff:d8:52,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,350,5
54:60:09:ff:d8:52,*,0x86dd,*,*,ff02:0:0:0:0:1:ffff:d852,58,*,*,1300,*,*,78,1
54:60:09:ff:d8:52,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1203,3
54:60:09:ff:d8:52,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,0,0
54:60:09:ff:d8:52,52:71:41:2f:b9:07,0x0800,*,*,time.google.com,17,*,123,1001,*,*,0,0
54:60:09:ff:d8:52,52:71:41:2f:b9:07,0x0800,*,*,8.8.8.8,1,*,*,1001,8,0,6370,65
54:60:09:ff:d8:52,52:71:41:2f:b9:07,0x0800,*,*,clients3.google.com|google.com,1,*,*,1001,8,0,784,8
54:60:09:ff:d8:52,52:71:41:2f:b9:07,0x0800,*,*,10.0.150.1,1,*,*,1001,8,0,7056,72
54:60:09:ff:d8:52,52:71:41:2f:b9:07,0x0800,*,*,10.0.150.1,17,*,53,1001,*,*,432,5
54:60:09:ff:d8:52,52:71:41:2f:b9:07,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,14564,183
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,*,*,1,*,*,1000,*,*,14370,147
54:60:09:ff:d8:52,52:71:41:2f:b9:07,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
54:60:09:ff:d8:52,52:71:41:2f:b9:07,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
54:60:09:ff:d8:52,52:71:41:2f:b9:07,0x0800,*,*,*,1,*,*,1000,*,*,294,3
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,*,*,17,123,*,1000,*,*,270,3
54:60:09:ff:d8:52,52:71:41:2f:b9:07,0x0800,*,*,*,17,*,123,1000,*,*,180,2
52:71:41:2f:b9:07,54:60:09:ff:d8:52,*,*,*,*,17,53,*,1000,*,*,23431,184
54:60:09:ff:d8:52,52:71:41:2f:b9:07,*,*,*,*,17,*,53,1000,*,*,155,2
*,54:60:09:ff:d8:52,0x0806,*,*,*,*,*,*,1000,*,*,2436,58
54:60:09:ff:d8:52,*,0x0806,*,*,*,*,*,*,1000,*,*,2520,60
54:60:09:ff:d8:52,52:71:41:2f:b9:07,0x0800,*,*,android.googleapis.com|play.googleapis.com|ajax.googleapis.com,6,*,443,855,*,*,6605,25
